program_id,sample_id,task_clock,context_switches,page_faults,instructions,branches,branch_misses,L1_dcache_loads,LLC_loads,LLC_load_misses,L1_icache_loads,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
ADD_0,18,5998.43,29,220,26056161057,5571731934,5204780,5426354429,13250013,4801,3874127669,2997592,5427631772,139087,26063355936,89926
ADD_0,19,5987.72,24,216,26052468905,5568288010,5200354,5424629402,13246594,120,3873420694,3064910,5431318604,137899,26071817886,56496
ADD_50,0,6724.15,26,222,30529266679,6422644902,6249850,6584159685,16462510,4063,4437297998,3655303,6592525702,163338,30546834240,66579
ADD_50,1,6725.88,19,220,30516560380,6419042585,6236221,6586844759,15913510,3083,4438598024,3654684,6589697058,155841,30528925839,68628
ADD_50,2,6727.06,36,222,30532952118,6422249021,6238484,6586033034,17096151,3928,4436158428,3627551,6591693523,154227,30544276443,69409
ADD_50,3,6723.99,31,220,30522928376,6422018105,6245243,6585486842,17286584,4702,4437147458,3608995,6590726350,159952,30537643745,66650
ADD_50,4,6714.76,34,218,30523453757,6421496576,6255273,6587650252,16765592,445,4438102437,3509093,6587036340,159231,30527145137,67537
ADD_50,5,6720.65,22,216,30531715320,6421456380,6235444,6583613669,16445313,3943,4439069842,3391897,6592142996,158853,30547738794,68873
ADD_50,6,6718.59,28,221,30536767731,6423114408,6238726,6586868030,14309836,5052,4437071099,3566988,6589145923,155624,30539489651,69646
ADD_50,7,6725.88,37,222,30521566845,6421469832,6239178,6587516697,17991926,5510,4437621431,3472593,6589197373,163573,30536885256,69006
ADD_50,8,6713.64,33,222,30530022909,6420935122,6241186,6585253217,16172595,273,4437436038,3459399,6591108969,157392,30541094712,68587
ADD_50,9,6722.45,36,219,30523255584,6421670564,6241695,6585688402,17132262,2925,4436310900,3179723,6590442767,159060,30539597797,71531
ADD_50,10,6726.63,18,217,30521529689,6420752101,6234258,6584337564,16632290,2982,4437710106,3352222,6592345473,157310,30542727499,65795
ADD_50,11,6707.75,23,218,30520912326,6420478825,6233653,6586296501,17037356,149,4437621608,3436310,6590041291,153558,30536727317,68640
ADD_50,12,6742.15,45,219,30528085018,6422829601,6241541,6587787962,14589363,1445,4437059151,3684738,6588375427,161714,30532046004,70271
ADD_50,13,6729.18,37,223,30524138432,6421452698,6244771,6585954407,15802889,3153,4437746779,3635260,6589789867,157928,30537234261,66743
